FILE, GAIA ROW, GALEX ROW, GAIA RA, GALEX RA, GAIA DEC, GALEX DEC
Berkeley_12,2,3,71.16613632759870,71.1651900573869,42.67541640874470,42.6749295503562
Berkeley_12,3,5,71.15897743288140,71.1587774036271,42.66823249901160,42.6694366950543
Berkeley_12,4,5,71.15823802366350,71.1587774036271,42.66936043182450,42.6694366950543
Berkeley_12,5,7,71.13929525148320,71.1390596914345,42.68414159642800,42.6852448101401
Berkeley_12,6,7,71.13935028157690,71.1390596914345,42.68419664301860,42.6852448101401
Berkeley_12,7,10,71.1772389934262,71.1763654271194,42.68731277625830,42.6871856497913
Berkeley_12,8,11,71.18083267550070,71.1801622281926,42.67122917508220,42.6701238315208
Berkeley_12,9,11,71.17936507988200,71.1801622281926,42.67035703246500,42.6701238315208
Berkeley_12,11,17,71.13116984678940,71.1302180641435,42.66396536556600,42.6635751131226
Berkeley_12,13,19,71.12272108812890,71.1240855842026,42.68497512454010,42.6839399596656
Berkeley_12,15,22,71.12546199799570,71.1250266601504,42.688338892009900,42.6893986804096
Berkeley_12,16,25,71.17062210486500,71.1701924408575,42.70610639335890,42.7062511135331
Berkeley_12,16,28,71.17062210486500,71.1711157417297,42.70610639335890,42.7066191000882
Berkeley_12,16,30,71.17062210486500,71.1712066482341,42.70610639335890,42.7067677394479
Berkeley_12,17,27,71.19743503999260,71.1979794944668,42.68141476780820,42.6814261167482
Berkeley_12,18,27,71.19779183660870,71.1979794944668,42.68271134534470,42.6814261167482
Berkeley_12,19,25,71.17062210486500,71.1701924408575,42.70610639335890,42.7062511135331
Berkeley_12,19,28,71.17062210486500,71.1711157417297,42.70610639335890,42.7066191000882
Berkeley_12,19,30,71.17062210486500,71.1712066482341,42.70610639335890,42.7067677394479
Berkeley_12,20,29,71.14231274607450,71.1425723406715,42.707690731335500,42.7073148862592
Berkeley_12,20,31,71.14231274607450,71.1428737748445,42.707690731335500,42.7075171037938
Berkeley_12,21,25,71.17062210486500,71.1701924408575,42.70610639335890,42.7062511135331
Berkeley_12,21,28,71.17062210486500,71.1711157417297,42.70610639335890,42.7066191000882
Berkeley_12,21,30,71.17062210486500,71.1712066482341,42.70610639335890,42.7067677394479
Berkeley_12,22,29,71.14231274607450,71.1425723406715,42.707690731335500,42.7073148862592
Berkeley_12,22,31,71.14231274607450,71.1428737748445,42.707690731335500,42.7075171037938
Berkeley_12,23,32,71.20076892968610,71.199942433732,42.67559617118360,42.6747810996134
Berkeley_12,23,34,71.20076892968610,71.200359764886,42.67559617118360,42.6755288595205
Berkeley_12,23,35,71.20076892968610,71.200733134661,42.67559617118360,42.6755386429414
Berkeley_12,24,33,71.16279191285740,71.1635338296287,42.64512444930490,42.6451163285846
Berkeley_12,25,34,71.2016555067888,71.200359764886,42.6756729930205,42.6755288595205
Berkeley_12,25,35,71.2016555067888,71.200733134661,42.6756729930205,42.6755386429414
Berkeley_12,26,34,71.20173716498030,71.200359764886,42.67587000259660,42.6755288595205
Berkeley_12,26,35,71.20173716498030,71.200733134661,42.67587000259660,42.6755386429414
Berkeley_12,27,32,71.20076892968610,71.199942433732,42.67559617118360,42.6747810996134
Berkeley_12,27,34,71.20076892968610,71.200359764886,42.67559617118360,42.6755288595205
Berkeley_12,27,35,71.20076892968610,71.200733134661,42.67559617118360,42.6755386429414
Berkeley_12,28,34,71.2016555067888,71.200359764886,42.6756729930205,42.6755288595205
Berkeley_12,28,35,71.2016555067888,71.200733134661,42.6756729930205,42.6755386429414
Berkeley_12,29,34,71.20173716498030,71.200359764886,42.67587000259660,42.6755288595205
Berkeley_12,29,35,71.20173716498030,71.200733134661,42.67587000259660,42.6755386429414
Berkeley_12,30,32,71.20076892968610,71.199942433732,42.67559617118360,42.6747810996134
